"name","gender","birthday","state","party","class","start","end"
"Fred Dubois","M","1851-05-29","ID","Democrat",2,1901-12-02,1907-03-03
"Paris Gibson","M","1830-07-01","MT","Democrat",1,1901-12-02,1905-03-03
"George Hoar","M","1826-08-29","MA","Republican",2,1877-10-15,1883-03-03
"George Hoar","M","1826-08-29","MA","Republican",2,1883-12-03,1889-03-03
"George Hoar","M","1826-08-29","MA","Republican",2,1889-12-02,1895-03-03
"George Hoar","M","1826-08-29","MA","Republican",2,1895-12-02,1901-03-03
"George Hoar","M","1826-08-29","MA","Republican",2,1901-12-02,1905-03-03
"Thomas Kearns","M","1862-04-11","UT","Republican",1,1901-12-02,1905-03-03
"James McMillan","M","1838-05-12","MI","Republican",2,1889-12-02,1895-03-03
"James McMillan","M","1838-05-12","MI","Republican",2,1895-12-02,1901-03-03
"James McMillan","M","1838-05-12","MI","Republican",2,1901-12-02,1903-03-03
"Joseph Millard","M","1836-04-20","NE","Republican",2,1901-12-02,1907-03-03
"John Mitchell","M","1835-06-22","OR","Republican",3,1873-12-01,1879-03-03
"John Mitchell","M","1835-06-22","OR","Republican",3,1885-12-07,1891-03-03
"John Mitchell","M","1835-06-22","OR","Republican",3,1891-12-07,1897-03-03
"John Mitchell","M","1835-06-22","OR","Republican",2,1901-12-02,1905-12-31
"John Morgan","M","1824-06-20","AL","Democrat",2,1877-10-15,1883-03-03
"John Morgan","M","1824-06-20","AL","Democrat",2,1883-12-03,1889-03-03
"John Morgan","M","1824-06-20","AL","Democrat",2,1889-12-02,1895-03-03
"John Morgan","M","1824-06-20","AL","Democrat",2,1895-12-02,1901-03-03
"John Morgan","M","1824-06-20","AL","Democrat",2,1901-12-02,1907-03-03
"Thomas Patterson","M","1839-11-04","CO","Democrat",2,1901-12-02,1907-03-03
"Matthew Quay","M","1833-09-30","PA","Republican",1,1887-12-05,1899-03-03
"Matthew Quay","M","1833-09-30","PA","Republican",1,1901-01-16,1904-05-28
"Russell Alger","M","1836-02-27","MI","Republican",2,1902-01-01,1907-03-03
"John Dryden","M","1839-08-07","NJ","Republican",2,1902-01-01,1907-03-03
"James Allee","M","1857-12-02","DE","Republican",2,1903-11-09,1907-03-03
"William Allison","M","1829-03-02","IA","Republican",3,1873-12-01,1885-03-03
"William Allison","M","1829-03-02","IA","Republican",3,1885-12-07,1891-03-03
"William Allison","M","1829-03-02","IA","Republican",3,1891-12-07,1903-03-03
"William Allison","M","1829-03-02","IA","Republican",3,1903-11-09,1909-03-03
"Levi Ankeny","M","1844-08-01","WA","Republican",3,1903-11-09,1909-03-03
"Charles Fairbanks","M","1852-05-11","IN","Republican",3,1897-03-15,1903-03-03
"Charles Fairbanks","M","1852-05-11","IN","Republican",3,1903-11-09,1905-12-31
"Joseph Foraker","M","1846-07-05","OH","Republican",3,1897-03-15,1903-03-03
"Joseph Foraker","M","1846-07-05","OH","Republican",3,1903-11-09,1909-03-03
"Charles Fulton","M","1853-08-24","OR","Republican",3,1903-11-09,1909-03-03
"Arthur Gorman","M","1839-03-11","MD","Democrat",1,1881-12-05,1887-03-03
"Arthur Gorman","M","1839-03-11","MD","Democrat",1,1887-12-05,1899-03-03
"Arthur Gorman","M","1839-03-11","MD","Democrat",3,1903-11-09,1907-03-03
"Henry Hansbrough","M","1848-01-30","ND","Republican",3,1891-12-07,1903-03-03
"Henry Hansbrough","M","1848-01-30","ND","Republican",3,1903-11-09,1909-03-03
"Albert Hopkins","M","1846-08-15","IL","Republican",3,1903-11-09,1909-03-03
"Alfred Kittredge","M","1861-03-28","SD","Republican",3,1901-12-02,1903-03-03
"Alfred Kittredge","M","1861-03-28","SD","Republican",3,1903-11-09,1909-03-03
"Asbury Latimer","M","1851-07-31","SC","Democrat",3,1903-11-09,1909-03-03
"Chester Long","M","1860-10-12","KS","Republican",3,1903-11-09,1909-03-03
"Stephen Mallory","M","1848-11-02","FL","Democrat",3,1897-03-15,1903-03-03
"Stephen Mallory","M","1848-11-02","FL","Democrat",3,1903-11-09,1907-12-23
"James McCreary","M","1838-07-08","KY","Democrat",3,1903-11-09,1909-03-03
"Edmund Pettus","M","1821-07-06","AL","Democrat",3,1897-03-15,1903-03-03
"Edmund Pettus","M","1821-07-06","AL","Democrat",3,1903-11-09,1907-12-31
"Orville Platt","M","1827-07-19","CT","Republican",3,1879-03-18,1885-03-03
"Orville Platt","M","1827-07-19","CT","Republican",3,1885-12-07,1891-03-03
"Orville Platt","M","1827-07-19","CT","Republican",3,1891-12-07,1903-03-03
"Orville Platt","M","1827-07-19","CT","Republican",3,1903-11-09,1905-12-31
"Thomas Platt","M","1833-07-15","NY","Republican",1,1881-12-05,1881-12-31
"Thomas Platt","M","1833-07-15","NY","Republican",3,1897-03-15,1903-03-03
"Thomas Platt","M","1833-07-15","NY","Republican",3,1903-11-09,1909-03-03
"John Spooner","M","1843-01-06","WI","Republican",3,1885-12-07,1891-03-03
"John Spooner","M","1843-01-06","WI","Republican",3,1897-03-15,1903-03-03
"John Spooner","M","1843-01-06","WI","Republican",3,1903-11-09,1907-12-31
"Henry Teller","M","1830-05-23","CO","Republican",2,1876-01-01,1883-03-03
"Henry Teller","M","1830-05-23","CO","Republican",3,1885-12-07,1891-03-03
"Henry Teller","M","1830-05-23","CO","Republican",3,1891-12-07,1897-03-03
"Henry Teller","M","1830-05-23","CO","Democrat",3,1897-03-15,1903-03-03
"Henry Teller","M","1830-05-23","CO","Democrat",3,1903-11-09,1909-03-03
"Charles Dick","M","1858-11-03","OH","Republican",1,1904-01-01,1911-03-03
"Nelson Aldrich","M","1841-11-06","RI","Republican",1,1881-12-05,1887-03-03
"Nelson Aldrich","M","1841-11-06","RI","Republican",1,1887-12-05,1899-03-03
"Nelson Aldrich","M","1841-11-06","RI","Republican",1,1899-12-04,1905-03-03
"Nelson Aldrich","M","1841-11-06","RI","Republican",1,1905-12-04,1911-03-03
"Albert Beveridge","M","1862-10-06","IN","Republican",1,1899-12-04,1905-03-03
"Albert Beveridge","M","1862-10-06","IN","Republican",1,1905-12-04,1911-03-03
"Morgan Bulkeley","M","1837-12-26","CT","Republican",1,1905-12-04,1911-03-03
"Elmer Burkett","M","1867-12-01","NE","Republican",1,1905-12-04,1911-03-03
"Julius Burrows","M","1837-01-09","MI","Republican",1,1895-12-02,1899-03-03
"Julius Burrows","M","1837-01-09","MI","Republican",1,1899-12-04,1905-03-03
"Julius Burrows","M","1837-01-09","MI","Republican",1,1905-12-04,1911-03-03
"Thomas Carter","M","1854-10-30","MT","Republican",2,1895-12-02,1901-03-03
"Thomas Carter","M","1854-10-30","MT","Republican",1,1905-12-04,1911-03-03
"John Daniel","M","1842-09-05","VA","Democrat",1,1887-12-05,1899-03-03
"John Daniel","M","1842-09-05","VA","Democrat",1,1899-12-04,1905-03-03
"John Daniel","M","1842-09-05","VA","Democrat",1,1905-12-04,1911-03-03
"Chauncey Depew","M","1834-04-23","NY","Republican",1,1899-12-04,1905-03-03
"Chauncey Depew","M","1834-04-23","NY","Republican",1,1905-12-04,1911-03-03
"Frank Flint","M","1862-07-15","CA","Republican",1,1905-12-04,1911-03-03
"James Frazier","M","1856-10-18","TN","Democrat",1,1905-12-04,1911-03-03
"John Gearin","M","1851-08-15","OR","Democrat",2,1905-12-04,1907-03-03
"Eugene Hale","M","1836-06-09","ME","Republican",1,1881-12-05,1887-03-03
"Eugene Hale","M","1836-06-09","ME","Republican",1,1887-12-05,1899-03-03
"Eugene Hale","M","1836-06-09","ME","Republican",1,1899-12-04,1905-03-03
"Eugene Hale","M","1836-06-09","ME","Republican",1,1905-12-04,1911-03-03
"James Hemenway","M","1860-03-08","IN","Republican",3,1905-12-04,1909-03-03
"John Kean","M","1852-12-04","NJ","Republican",1,1899-12-04,1905-03-03
"John Kean","M","1852-12-04","NJ","Republican",1,1905-12-04,1911-03-03
"Hernando Money","M","1839-08-26","MS","Democrat",1,1897-03-15,1899-03-03
"Hernando Money","M","1839-08-26","MS","Democrat",1,1899-12-04,1905-03-03
"Hernando Money","M","1839-08-26","MS","Democrat",1,1905-12-04,1911-03-03
"Samuel Piles","M","1858-12-28","WA","Republican",1,1905-12-04,1911-03-03
"Redfield Proctor","M","1831-06-01","VT","Republican",1,1891-12-07,1899-03-03
"Redfield Proctor","M","1831-06-01","VT","Republican",1,1899-12-04,1905-03-03
"Redfield Proctor","M","1831-06-01","VT","Republican",1,1905-12-04,1909-03-03
"Nathan Scott","M","1842-12-18","WV","Republican",1,1899-12-04,1905-03-03
"Nathan Scott","M","1842-12-18","WV","Republican",1,1905-12-04,1911-03-03
"James Taliaferro","M","1847-09-30","FL","Democrat",1,1899-12-04,1905-03-03
"James Taliaferro","M","1847-09-30","FL","Democrat",1,1905-12-04,1911-03-03
"Charles Towne","M","1858-11-21","MN","Democrat",1,1900-01-01,1901-12-31
"William Warner","M","1840-06-11","MO","Republican",1,1905-12-04,1911-03-03
"Alfred Benson","M","1843-07-15","KS","Republican",2,1906-01-01,1907-03-03
"William Whyte","M","1824-08-09","MD","Democrat",1,1868-01-01,1869-03-03
"William Whyte","M","1824-08-09","MD","Democrat",1,1875-12-06,1881-03-03
"William Whyte","M","1824-08-09","MD","Democrat",3,1906-01-01,1909-03-03
"Joseph Bailey","M","1862-10-06","TX","Democrat",2,1901-12-02,1907-03-03
"Joseph Bailey","M","1862-10-06","TX","Democrat",2,1907-12-02,1913-03-03
"Jonathan Bourne","M","1855-02-23","OR","Republican",2,1907-12-02,1913-03-03
"Frank Briggs","M","1851-08-12","NJ","Republican",2,1907-12-02,1913-03-03
"Norris Brown","M","1863-05-02","NE","Republican",2,1907-12-02,1913-03-03
"William Bryan","M","1876-10-10","FL","Democrat",3,1907-12-02,1909-03-03
"Henry Burnham","M","1844-11-08","NH","Republican",2,1901-12-02,1907-03-03
"Henry Burnham","M","1844-11-08","NH","Republican",2,1907-12-02,1913-03-03
"Winthrop Crane","M","1853-04-23","MA","Republican",2,1904-01-01,1907-03-03
"Winthrop Crane","M","1853-04-23","MA","Republican",2,1907-12-02,1913-03-03
"Shelby Cullom","M","1829-11-22","IL","Republican",2,1883-12-03,1889-03-03
"Shelby Cullom","M","1829-11-22","IL","Republican",2,1889-12-02,1895-03-03
"Shelby Cullom","M","1829-11-22","IL","Republican",2,1895-12-02,1901-03-03
"Shelby Cullom","M","1829-11-22","IL","Republican",2,1901-12-02,1907-03-03
"Shelby Cullom","M","1829-11-22","IL","Republican",2,1907-12-02,1913-03-03
"Jeff Davis","M","1862-05-06","AR","Democrat",2,1907-12-02,1913-03-03
"Joseph Dixon","M","1867-07-31","MT","Republican",2,1907-12-02,1913-03-03
"Jonathan Dolliver","M","1858-02-06","IA","Republican",2,1900-01-01,1907-03-03
"Jonathan Dolliver","M","1858-02-06","IA","Republican",2,1907-12-02,1911-03-03
"Stephen Elkins","M","1841-09-26","WV","Republican",2,1895-12-02,1901-03-03
"Stephen Elkins","M","1841-09-26","WV","Republican",2,1901-12-02,1907-03-03
"Stephen Elkins","M","1841-09-26","WV","Republican",2,1907-12-02,1911-12-31
"Murphy Foster","M","1849-01-12","LA","Democrat",2,1901-12-02,1907-03-03
"Murphy Foster","M","1849-01-12","LA","Democrat",2,1907-12-02,1913-03-03
"William Frye","M","1830-09-02","ME","Republican",2,1881-12-05,1883-03-03
"William Frye","M","1830-09-02","ME","Republican",2,1883-12-03,1889-03-03
"William Frye","M","1830-09-02","ME","Republican",2,1889-12-02,1895-03-03
"William Frye","M","1830-09-02","ME","Republican",2,1895-12-02,1901-03-03
"William Frye","M","1830-09-02","ME","Republican",2,1901-12-02,1907-03-03
"William Frye","M","1830-09-02","ME","Republican",2,1907-12-02,1911-12-31
"Robert Gamble","M","1851-02-07","SD","Republican",2,1901-12-02,1907-03-03
"Robert Gamble","M","1851-02-07","SD","Republican",2,1907-12-02,1913-03-03
"Simon Guggenheim","M","1867-12-30","CO","Republican",2,1907-12-02,1913-03-03
"Anselm McLaurin","M","1848-03-26","MS","Democrat",2,1894-01-01,1895-03-03
"Anselm McLaurin","M","1848-03-26","MS","Democrat",2,1901-12-02,1907-03-03
"Anselm McLaurin","M","1848-03-26","MS","Democrat",2,1907-12-02,1909-12-31
"Thomas Paynter","M","1851-12-09","KY","Democrat",2,1907-12-02,1913-03-03
"Harry Richardson","M","1853-01-01","DE","Republican",2,1907-12-02,1913-03-03
"Robert Taylor","M","1850-07-31","TN","Democrat",2,1907-12-02,1913-03-03
"Frank Gary","M","1860-03-09","SC","Democrat",3,1908-01-01,1909-03-03
"William Milton","M","1864-03-02","FL","Democrat",3,1908-01-01,1909-03-03
"John Stewart","M","1825-11-24","VT","Republican",1,1908-01-01,1909-03-03
"George Wetmore","M","1846-08-02","RI","Republican",2,1895-12-02,1901-03-03
"George Wetmore","M","1846-08-02","RI","Republican",2,1901-12-02,1907-03-03
"George Wetmore","M","1846-08-02","RI","Republican",2,1908-01-01,1913-03-03
"William Bradley","M","1847-03-18","KY","Republican",3,1909-03-15,1915-03-03
"Joseph Bristow","M","1861-07-22","KS","Republican",3,1909-03-15,1915-03-03
"Alexander Clay","M","1853-09-25","GA","Democrat",3,1897-03-15,1903-03-03
"Alexander Clay","M","1853-09-25","GA","Democrat",3,1903-11-09,1911-03-03
"Coe Crawford","M","1858-01-14","SD","Republican",3,1909-03-15,1915-03-03
"James Gordon","M","1833-12-06","MS","Democrat",2,1909-03-15,1911-03-03
"Weldon Heyburn","M","1852-05-23","ID","Republican",3,1903-11-09,1913-03-03
"Charles Hughes","M","1853-02-16","CO","Democrat",3,1909-03-15,1911-12-31
"Martin Johnson","M","1850-03-03","ND","Republican",3,1909-03-15,1909-12-31
"Joseph Johnston","M","1843-03-23","AL","Democrat",3,1907-12-02,1913-12-31
"William Lorimer","M","1861-04-27","IL","Republican",3,1909-03-15,1913-03-03
"Samuel McEnery","M","1837-05-28","LA","Democrat",3,1897-03-15,1903-03-03
"Samuel McEnery","M","1837-05-28","LA","Democrat",3,1903-11-09,1911-03-03
"George Perkins","M","1839-08-23","CA","Republican",3,1893-08-07,1903-03-03
"George Perkins","M","1839-08-23","CA","Republican",3,1903-11-09,1915-03-03
"Elihu Root","M","1845-02-15","NY","Republican",3,1909-03-15,1915-03-03
"Isaac Stephenson","M","1829-06-18","WI","Republican",3,1907-12-02,1915-03-03
"Fountain Thompson","M","1854-11-18","ND","Democrat",3,1909-03-15,1911-03-03
"Le Percy","M","1860-11-09","MS","Democrat",2,1910-01-01,1913-03-03
"William Purcell","M","1856-08-03","ND","Democrat",3,1910-01-01,1911-12-31
"Joseph Terrell","M","1861-06-06","GA","Democrat",3,1910-01-01,1911-12-31
"John Thornton","M","1846-08-25","LA","Democrat",3,1910-01-01,1915-03-03
"Lafayette Young","M","1848-05-10","IA","Republican",2,1910-01-01,1911-12-31
"Nathan Bryan","M","1872-04-23","FL","Democrat",1,1911-04-04,1917-03-03
"William Chilton","M","1858-03-17","WV","Democrat",1,1911-04-04,1917-03-03
"Moses Clapp","M","1851-05-21","MN","Republican",1,1901-12-02,1905-03-03
"Moses Clapp","M","1851-05-21","MN","Republican",1,1905-12-04,1917-03-03
"Clarence Clark","M","1851-04-16","WY","Republican",1,1895-12-02,1899-03-03
"Clarence Clark","M","1851-04-16","WY","Republican",1,1899-12-04,1905-03-03
"Clarence Clark","M","1851-04-16","WY","Republican",1,1905-12-04,1917-03-03
"Obadiah Gardner","M","1852-09-13","ME","Democrat",2,1911-04-04,1913-03-03
"Charles Johnson","M","1859-02-14","ME","Democrat",1,1911-04-04,1917-03-03
"John Kern","M","1849-12-20","IN","Democrat",1,1911-04-04,1917-03-03
"Luke Lea","M","1879-04-12","TN","Democrat",1,1911-04-04,1917-03-03
"Henry Lippitt","M","1856-10-12","RI","Republican",1,1911-04-04,1917-03-03
"James Martine","M","1850-08-25","NJ","Democrat",1,1911-04-04,1917-03-03
"George Nixon","M","1860-04-02","NV","Republican",1,1905-12-04,1913-03-03
"James O’Gorman","M","1860-05-05","NY","Democrat",1,1911-04-04,1917-03-03
"George Oliver","M","1848-01-26","PA","Republican",1,1909-03-15,1917-03-03
"Isidor Rayner","M","1850-04-11","MD","Democrat",1,1905-12-04,1913-03-03
"George Sutherland","M","1862-03-25","UT","Republican",1,1905-12-04,1917-03-03
"Clarence Watson","M","1864-05-08","WV","Democrat",2,1911-04-04,1913-03-03
"John Works","M","1847-03-29","CA","Republican",1,1911-04-04,1917-03-03
"Henry du Pont","M","1838-07-30","DE","Republican",1,1906-01-01,1917-03-03
"Thomas Catron","M","1840-10-06","NM","Republican",1,1912-01-01,1917-03-03
"William Jackson","M","1868-01-11","MD","Republican",1,1912-01-01,1915-03-03
"William Massey","M","1856-10-07","NV","Republican",1,1912-01-01,1913-12-31
"Kirtland Perky","M","1867-02-08","ID","Democrat",3,1912-01-01,1913-12-31
"Newell Sanders","M","1850-07-12","TN","Republican",2,1912-01-01,1913-03-03
"Augustus Bacon","M","1839-10-20","GA","Democrat",2,1895-12-02,1901-03-03
"Augustus Bacon","M","1839-10-20","GA","Democrat",2,1901-12-02,1907-03-03
"Augustus Bacon","M","1839-10-20","GA","Democrat",2,1907-12-02,1915-03-03
"Edwin Burleigh","M","1843-11-27","ME","Republican",2,1913-04-07,1917-03-03
"Nathan Goff","M","1843-02-09","WV","Republican",2,1913-04-07,1919-03-03
"John Heiskell","M","1872-11-02","AR","Democrat",2,1913-04-07,1913-12-31
"Henry Hollis","M","1869-08-30","NH","Democrat",2,1913-04-07,1919-03-03
"William Hughes","M","1872-04-03","NJ","Democrat",2,1913-04-07,1919-03-03
"Ollie James","M","1871-07-27","KY","Democrat",2,1913-04-07,1919-03-03
"Rienzi Johnston","M","1849-09-09","TX","Democrat",2,1913-04-07,1913-12-31
"William Kavanaugh","M","1866-03-03","AR","Democrat",2,1913-04-07,1913-12-31
"Harry Lane","M","1855-08-28","OR","Democrat",2,1913-04-07,1917-12-31
"Thomas Martin","M","1847-07-29","VA","Democrat",2,1895-12-02,1901-03-03
"Thomas Martin","M","1847-07-29","VA","Democrat",2,1901-12-02,1907-03-03
"Thomas Martin","M","1847-07-29","VA","Democrat",2,1907-12-02,1919-11-12
"Willard Saulsbury","M","1861-04-17","DE","Democrat",2,1913-04-07,1919-03-03
"John Shafroth","M","1854-06-09","CO","Democrat",2,1913-04-07,1919-03-03
"William Smith","M","1859-05-12","MI","Republican",2,1907-12-02,1919-03-03
"William Thompson","M","1871-10-14","KS","Democrat",2,1913-04-07,1919-03-03
"Benjamin Tillman","M","1847-08-11","SC","Democrat",2,1895-12-02,1901-03-03
"Benjamin Tillman","M","1847-08-11","SC","Democrat",2,1901-12-02,1907-03-03
"Benjamin Tillman","M","1847-08-11","SC","Democrat",2,1907-12-02,1919-03-03
"James Vardaman","M","1861-07-26","MS","Democrat",2,1913-04-07,1919-03-03
"William Webb","M","1842-11-11","TN","Democrat",2,1913-04-07,1913-12-31
"John Weeks","M","1860-04-11","MA","Republican",2,1913-04-07,1919-03-03
"Johnson Camden","M","1865-01-05","KY","Democrat",3,1914-06-16,1915-03-03
"Thomas Hardwick","M","1872-12-09","GA","Democrat",2,1914-01-01,1919-03-03
"Blair Lee","M","1857-08-09","MD","Democrat",1,1914-01-01,1917-03-03
"William West","M","1849-08-23","GA","Democrat",2,1914-03-02,1915-03-03
"Francis White","M","1847-03-13","AL","Democrat",3,1914-01-01,1915-03-03
"John Beckham","M","1869-08-05","KY","Democrat",3,1915-12-06,1921-03-03
"James Brady","M","1862-06-12","ID","Republican",3,1913-04-07,1915-03-03
"James Brady","M","1862-06-12","ID","Republican",3,1915-12-06,1919-03-03
"Robert Broussard","M","1864-08-17","LA","Democrat",3,1915-12-06,1919-03-03
"George Chamberlain","M","1854-01-01","OR","Democrat",3,1909-03-15,1915-03-03
"George Chamberlain","M","1854-01-01","OR","Democrat",3,1915-12-06,1921-03-03
"James Clarke","M","1854-08-18","AR","Democrat",3,1903-11-09,1915-03-03
"James Clarke","M","1854-08-18","AR","Democrat",3,1915-12-06,1917-03-03
"Jacob Gallinger","M","1837-03-28","NH","Republican",3,1891-12-07,1903-03-03
"Jacob Gallinger","M","1837-03-28","NH","Republican",3,1903-11-09,1915-03-03
"Jacob Gallinger","M","1837-03-28","NH","Republican",3,1915-12-06,1919-03-03
"Asle Gronna","M","1858-12-10","ND","Republican",3,1911-04-04,1915-03-03
"Asle Gronna","M","1858-12-10","ND","Republican",3,1915-12-06,1921-03-03
"Paul Husting","M","1866-04-25","WI","Democrat",3,1915-12-06,1917-12-31
"Edwin Johnson","M","1857-02-26","SD","Democrat",3,1915-12-06,1921-03-03
"Francis Newlands","M","1846-08-28","NV","Democrat",3,1903-11-09,1915-03-03
"Francis Newlands","M","1846-08-28","NV","Democrat",3,1915-12-06,1917-12-31
"Boies Penrose","M","1860-11-01","PA","Republican",3,1897-03-15,1903-03-03
"Boies Penrose","M","1860-11-01","PA","Republican",3,1903-11-09,1915-03-03
"Boies Penrose","M","1860-11-01","PA","Republican",3,1915-12-06,1921-03-03
"James Phelan","M","1861-04-20","CA","Democrat",3,1915-12-06,1921-03-03
"Lawrence Sherman","M","1858-11-08","IL","Republican",3,1913-04-07,1915-03-03
"Lawrence Sherman","M","1858-11-08","IL","Republican",3,1915-12-06,1921-03-03
"Benjamin Shively","M","1857-03-20","IN","Democrat",3,1909-03-15,1915-03-03
"Benjamin Shively","M","1857-03-20","IN","Democrat",3,1915-12-06,1917-03-03
"Hoke Smith","M","1855-09-02","GA","Democrat",3,1911-04-04,1915-03-03
"Hoke Smith","M","1855-09-02","GA","Democrat",3,1915-12-06,1921-03-03
"John Smith","M","1845-02-05","MD","Democrat",3,1908-01-01,1915-03-03
"John Smith","M","1845-02-05","MD","Democrat",3,1915-12-06,1921-03-03
"Marcus Smith","M","1851-01-24","AZ","Democrat",3,1912-01-01,1915-03-03
"Marcus Smith","M","1851-01-24","AZ","Democrat",3,1915-12-06,1921-03-03
"William Stone","M","1848-05-07","MO","Democrat",3,1903-11-09,1915-03-03
"William Stone","M","1848-05-07","MO","Democrat",3,1915-12-06,1919-03-03
"Charles Thomas","M","1849-12-06","CO","Democrat",3,1913-04-07,1915-03-03
"Charles Thomas","M","1849-12-06","CO","Democrat",3,1915-12-06,1921-03-03
"William Kirby","M","1867-11-16","AR","Democrat",3,1916-01-01,1921-03-03
"Thomas Taggart","M","1856-11-17","IN","Democrat",3,1916-03-20,1917-03-03
"William Calder","M","1869-03-03","NY","Republican",1,1917-04-02,1923-03-03
"Charles Culberson","M","1855-06-10","TX","Democrat",1,1899-12-04,1905-03-03
"Charles Culberson","M","1855-06-10","TX","Democrat",1,1905-12-04,1923-03-03
"Joseph France","M","1873-10-11","MD","Republican",1,1917-04-02,1923-03-03
"Joseph Frelinghuysen","M","1869-03-12","NJ","Republican",1,1917-04-02,1923-03-03
"Gilbert Hitchcock","M","1859-09-18","NE","Democrat",1,1911-04-04,1923-03-03
"Frank Kellogg","M","1856-12-22","MN","Republican",1,1917-04-02,1923-03-03
"Philander Knox","M","1853-05-06","PA","Republican",1,1904-01-01,1909-12-31
"Philander Knox","M","1853-05-06","PA","Republican",1,1917-04-02,1921-12-31
"Porter McCumber","M","1858-02-03","ND","Republican",1,1899-12-04,1905-03-03
"Porter McCumber","M","1858-02-03","ND","Republican",1,1905-12-04,1923-03-03
"Henry Myers","M","1862-10-09","MT","Democrat",1,1911-04-04,1923-03-03
"Harry New","M","1858-12-31","IN","Republican",1,1917-04-02,1923-03-03
"Carroll Page","M","1843-01-10","VT","Republican",1,1908-01-01,1923-03-03
"Miles Poindexter","M","1868-04-22","WA","Republican",1,1911-04-04,1923-03-03
"Atlee Pomerene","M","1863-12-06","OH","Democrat",1,1911-04-04,1923-03-03
"Howard Sutherland","M","1865-09-08","WV","Republican",1,1917-04-02,1923-03-03
"Charles Townsend","M","1856-08-15","MI","Republican",1,1911-04-04,1923-03-03
"John Williams","M","1854-07-30","MS","Democrat",1,1911-04-04,1923-03-03
"Josiah Wolcott","M","1877-10-31","DE","Democrat",1,1917-04-02,1921-12-31
"David Baird","M","1839-04-07","NJ","Republican",2,1918-02-23,1919-03-03
"Christie Benet","M","1879-12-26","SC","Democrat",2,1918-07-06,1919-03-03
"Irving Drew","M","1845-01-08","NH","Republican",3,1918-09-02,1919-03-03
"Edward Gay","M","1878-05-05","LA","Democrat",3,1918-01-01,1921-03-03
"Walter Guion","M","1849-04-03","LA","Democrat",3,1918-04-22,1919-03-03
"Charles Henderson","M","1873-06-08","NV","Democrat",3,1918-01-12,1921-03-03
"George Martin","M","1876-08-18","KY","Democrat",2,1918-09-07,1919-03-03
"Frederick Mulkey","M","1874-01-06","OR","Republican",2,1907-12-02,1907-12-31
"Frederick Mulkey","M","1874-01-06","OR","Republican",2,1918-01-01,1919-03-03
"John Nugent","M","1868-06-28","ID","Democrat",3,1918-01-22,1921-03-03
"William Pollock","M","1870-12-09","SC","Democrat",2,1918-01-01,1919-03-03
"Xenophon Wilfley","M","1871-03-18","MO","Democrat",3,1918-04-30,1919-03-03
"Lewis Ball","M","1861-09-21","DE","Republican",1,1903-11-09,1905-03-03
"Lewis Ball","M","1861-09-21","DE","Republican",2,1919-05-19,1925-03-03
"John Bankhead","M","1842-09-13","AL","Democrat",2,1907-12-02,1921-03-03
"LeBaron Colt","M","1846-06-25","RI","Republican",2,1913-04-07,1924-08-18
"Nathaniel Dial","M","1862-04-24","SC","Democrat",2,1919-05-19,1925-03-03
"Davis Elkins","M","1876-01-24","WV","Republican",2,1911-04-04,1911-12-31
"Davis Elkins","M","1876-01-24","WV","Republican",2,1919-05-19,1925-03-03
"Albert Fall","M","1861-11-26","NM","Republican",2,1912-01-01,1921-12-31
"William Kenyon","M","1869-06-10","IA","Republican",2,1911-04-04,1923-03-03
"Joseph McCormick","M","1877-05-16","IL","Republican",2,1919-05-19,1925-03-03
"Knute Nelson","M","1843-02-02","MN","Republican",2,1895-12-02,1901-03-03
"Knute Nelson","M","1843-02-02","MN","Republican",2,1901-12-02,1907-03-03
"Knute Nelson","M","1843-02-02","MN","Republican",2,1907-12-02,1923-12-31
"Truman Newberry","M","1864-11-05","MI","Republican",2,1919-05-19,1922-11-18
"Robert Owen","M","1856-02-02","OK","Democrat",2,1907-12-02,1925-03-03
"John Shields","M","1858-08-15","TN","Democrat",2,1913-04-07,1925-03-03
"Augustus Stanley","M","1867-05-21","KY","Democrat",2,1919-05-19,1925-03-03
"Thomas Sterling","M","1851-02-21","SD","Republican",2,1913-04-07,1925-03-03
"Braxton Comer","M","1848-11-07","AL","Democrat",2,1920-03-05,1921-03-03
"Warren Harding","M","1865-11-02","OH","Republican",3,1915-12-06,1921-03-03
"Frank Brandegee","M","1864-07-08","CT","Republican",3,1905-12-04,1915-03-03
"Frank Brandegee","M","1864-07-08","CT","Republican",3,1915-12-06,1925-03-03
"Holm Bursum","M","1867-02-10","NM","Republican",2,1921-04-11,1925-03-03
"Ralph Cameron","M","1863-10-21","AZ","Republican",3,1921-04-11,1927-03-04
"William Crow","M","1870-03-10","PA","Republican",1,1921-10-17,1923-03-03
"Albert Cummins","M","1850-02-15","IA","Republican",3,1908-01-01,1915-03-03
"Albert Cummins","M","1850-02-15","IA","Republican",3,1915-12-06,1927-03-04
"William Dillingham","M","1843-12-12","VT","Republican",3,1900-01-01,1903-03-03
"William Dillingham","M","1843-12-12","VT","Republican",3,1903-11-09,1915-03-03
"William Dillingham","M","1843-12-12","VT","Republican",3,1915-12-06,1923-12-31
"Richard Ernst","M","1858-02-28","KY","Republican",3,1921-04-11,1927-03-04
"John Harreld","M","1872-01-24","OK","Republican",3,1921-04-11,1927-03-04
"Edwin Ladd","M","1859-12-13","ND","Republican",3,1921-04-11,1925-12-31
